ProductID,ProductName,SupplierID,CategoryID,UndiscountedUnitPrice,ReorderLevel,Discontinued,CategoryName,SupplierName,ContactName,ContactTitle,City,Region,Country,OrderID,DiscountedUnitPrice,Quantity,OrderDate,RequiredDate,ShippedDate,ShipperID,Freight,ShipName,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,ShippingTime,ShipperName,Phone,Revenue
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10285,14.4,45,1994-09-20,1994-10-18,1994-09-26,2,76.83,QUICK-Stop,Cunewalde,,01307,Germany,6.0,United Package,(503) 555-3199,648.0
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10294,14.4,18,1994-09-30,1994-10-28,1994-10-06,2,147.26,Rattlesnake Canyon Grocery,Albuquerque,NM,87110,USA,6.0,United Package,(503) 555-3199,259.2
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10317,14.4,20,1994-10-31,1994-11-28,1994-11-10,1,12.69,Lonesome Pine Restaurant,Portland,OR,97219,USA,10.0,Speedy Express,(503) 555-9831,288.0
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10348,14.4,15,1994-12-08,1995-01-05,1994-12-16,2,0.78,Die Wandernde Kuh,Stuttgart,,70563,Germany,8.0,United Package,(503) 555-3199,216.0
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10354,14.4,12,1994-12-15,1995-01-12,1994-12-21,3,53.8,Pericles Comidas clÃ¡sicas,MÃ©xico D.F.,,05033,Mexico,6.0,Federal Shipping,(503) 555-9931,172.8
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10370,14.4,15,1995-01-03,1995-01-31,1995-01-27,2,1.17,Chop-suey Chinese,Bern,,3012,Switzerland,24.0,United Package,(503) 555-3199,216.0
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10406,14.4,10,1995-02-07,1995-03-21,1995-02-13,1,108.04,Queen Cozinha,SÃ£o Paulo,SP,05487-020,Brazil,6.0,Speedy Express,(503) 555-9831,144.0
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10413,14.4,24,1995-02-14,1995-03-14,1995-02-16,2,95.66,La maison d'Asie,Toulouse,,31000,France,2.0,United Package,(503) 555-3199,345.6
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10477,14.4,15,1995-04-17,1995-05-15,1995-04-25,2,13.02,Princesa Isabel Vinhos,Lisboa,,1756,Portugal,8.0,United Package,(503) 555-3199,216.0
1,Chai,1,1,18.0,10,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager,London,,UK,10522,18.0,40,1995-05-31,1995-06-28,1995-06-06,1,45.33,Lehmanns Marktstand,Frankfurt a.M. ,,60528,Germany,6.0,Speedy Express,(503) 555-9831,720.0
